split,image_id,metric_object,coordinate_space,gt_variant,gt_source_type,image_path,model_path,gt_path,model_sha256,gt_sha256,model_pair_encoding_valid,model_pair_encoding_invalid_reason,model_point_count,gt_point_count,model_pair_count,gt_pair_count,pair_count_delta,topology_exact,pair_structure_correct,corner_match_threshold_px,corner_match_tp,corner_match_fp,corner_match_fn,corner_precision_1pct,corner_recall_1pct,corner_f1_1pct,corner_localization_pass,structural_localization_correct,mean_corner_error_px,corner_rmse_px,max_corner_error_px,corner_error_percent_diagonal,topdown_2d_iou,layoutnetv2_style_3d_iou,layout_depth_rmse_proxy,layout_depth_delta1_proxy,layout_metric_status,layout_metric_reason,layout_mask_iou,layout_mask_difference,boundary_rmse_px,geometry_acceptable,initialization_correct,near_identical,initialization_class,difference_band,topdown_2d_iou_ge_0_95,topdown_2d_iou_ge_0_9,topdown_2d_iou_ge_0_75,mask_difference_ge_0_01,mask_difference_ge_0_05,mask_difference_ge_0_1,mask_difference_ge_0_2,boundary_rmse_ge_5px,boundary_rmse_ge_10px,boundary_rmse_ge_20px,official_gt_sensitivity_initialization_class,official_gt_sensitivity_initialization_correct,official_gt_sensitivity_gt_pair_count,hybrid_vs_official_class_changed,hybrid_vs_official_topology_changed
test,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,d1103f17b451d28af0c51664bfda90166e40e1fd66a3afbaf469b0d081229407,fa805ee35d3f45dea0e5b7784c991d88115ced7df2dc6c1e6338127f64c70bf8,True,,16,16,8,8,0,True,True,10.24,16,0,0,1.0,1.0,1.0,True,True,5.505374,5.986205,10.160319,0.48087465,0.90624322,0.88863688,0.08056681,0.99839973,proxy_evaluable,,0.97002041,0.02997959,5.648312,True,True,False,correct_initialization,correct_but_visible_difference,False,True,True,True,False,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,ed8e4195d259b348324b91e89b58d506d11f4869868f32ff39085b555bfb904a,2535319de36e429d6807e141517600964ea295aad2815d4f11b60b5bd2d790f4,True,,16,12,8,6,2,False,False,10.24,12,4,0,0.75,1.0,0.85714286,False,False,,,,,0.95886936,0.93697547,0.06489641,1.0,proxy_evaluable,,0.89919951,0.10080049,26.888517,False,False,False,wrong_initialization_topology,large_difference_topology,True,True,True,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.txt,feb56e1841d692330ae6a21c3906f4749728c902b757b60076e4e4915c4220b4,efa014a82ad2ea83f851cd1e8c9f384bbf8ed6b4a2920b24034c1c6bdac9e7a0,True,,8,12,4,6,-2,False,False,10.24,3,5,9,0.375,0.25,0.3,False,False,,,,,0.81228216,0.80338912,0.39149308,0.84265518,proxy_evaluable,,0.82935156,0.17064844,23.1481,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,True,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,5b2748d1f803d6f5e46074a323beffc6aeecd6d2ecb1002e5039a5d360974f8a,b65ec534f37e73349fa241f70f227c4a86df964679f238f0a9d6a8c2146ca481,True,,8,8,4,4,0,True,True,10.24,8,0,0,1.0,1.0,1.0,True,True,2.813038,3.305345,5.449854,0.24570879,0.9440327,0.93073641,0.04287718,1.0,proxy_evaluable,,0.98896942,0.01103058,2.315049,True,True,False,correct_initialization,correct_but_visible_difference,False,True,True,True,False,False,False,False,False,False,,,,False,False
test,7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,72fe06fa70dace0d8c9f7a1030ccf88361d870cc88f3d133df0142af2c99bee2,890d9336071b56e501841601fe2eef8deeaa2717ca24a74cc2739f2875811f88,True,,16,16,8,8,0,True,True,10.24,14,2,2,0.875,0.875,0.875,False,False,5.677902,6.582049,15.192087,0.49594432,0.8547739,0.81723389,0.17320611,0.99926186,proxy_evaluable,,0.9516605,0.0483395,7.724153,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,True,True,False,False,False,True,False,False,,,,False,False
test,7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,5ca4e79a595a4c0bcc0cf8d12972f3f02054a3d20cd6773e40aad81e07042626,7a287ba7df5e1e36fad0753d79f1c7dd35bb7c0a6336b8598d9a01f5f3ac6ee6,True,,16,16,8,8,0,True,True,10.24,4,12,12,0.25,0.25,0.25,False,False,22.728056,28.361148,58.809793,1.98521398,0.46296858,0.45927133,0.60308748,0.91123581,proxy_evaluable,,0.82061831,0.17938169,35.282619,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,False,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,1acd7df99a1e58148a7fce314732c0271aeffcd612d7f397c9bf6135ac015391,4b2d8fdd7aa5ae7c199cfd6938986513ede2185a53844bbd9faa95465fb2dc3d,True,,12,12,6,6,0,True,True,10.24,6,6,6,0.5,0.5,0.5,False,False,12.819438,15.158344,28.398643,1.11973181,0.84624841,0.83688865,0.28489205,0.86501503,proxy_evaluable,,0.90551307,0.09448693,11.82641,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,True,True,True,False,False,True,True,False,,,,False,False
test,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.txt,bcd305c1884a353918aff0e021957b8e434dd7bac647b20f470822b76e6f30a9,6f07945165d745bf60b4f9a05032514cab54131874b2cdec09e427583a44e7aa,True,,20,20,10,10,0,True,True,10.24,11,9,9,0.55,0.55,0.55,False,False,13.114061,17.610676,42.277844,1.14546611,0.73300896,0.72663688,0.29866162,0.84576797,proxy_evaluable,,0.83896072,0.16103928,50.309547,False,False,False,wrong_initialization_localization,large_difference_localization,False,False,False,True,True,True,False,True,True,True,,,,False,False
test,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,3a1ef9cfa91ba6e43f3d14a08aa97271316c4b0fa7a3d7684618ea79df095b4f,ea2112c7a93a4bc437610b6831a1a02f99a88cbe4c86c4d0241c3b592fa89b19,True,,8,8,4,4,0,True,True,10.24,8,0,0,1.0,1.0,1.0,True,True,2.442503,2.849946,5.304047,0.21334385,0.98100743,0.95282252,0.06917609,1.0,proxy_evaluable,,0.97081442,0.02918558,4.000704,True,True,False,correct_initialization,correct_but_visible_difference,True,True,True,True,False,False,False,False,False,False,,,,False,False
test,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,final_layout_as_initialization_proxy,1024x512,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,8906b14262bb34765312f87075eb554e0a44ae222dc8070a00fd4434cb4d23a5,787158303780724bfd231fe1ab5b38c28428f7cb72beef2934df720e29540537,True,,20,12,10,6,4,False,False,10.24,12,8,0,0.6,1.0,0.75,False,False,,,,,0.73098937,0.7201039,0.5949685,0.84780502,proxy_evaluable,,0.61164831,0.38835169,94.37085,False,False,False,wrong_initialization_topology,large_difference_topology,False,False,False,True,True,True,True,True,True,True,,,,False,False
