condition,contrast,method,images,actual,predicted,mae
oos_geometry,AAB minus AA,seed_context_t025,9,0.10144927536231883,-8.164024209265507e-05,0.2476087542429637
oos_geometry,AAB minus AA,seed_equal,9,0.10144927536231883,0.0,0.2463768115942029
oos_geometry,AAB minus AA,seed_person_t025,9,0.10144927536231883,0.003973542456329595,0.2510827704959088
oos_geometry,AAB minus AA,seed_type4,9,0.10144927536231883,0.010949641662685158,0.25883146997929607
oos_geometry,AABC minus AAB,seed_context_t025,8,0.027777777777777804,0.0003696108069162978,0.10205700178724829
oos_geometry,AABC minus AAB,seed_equal,8,0.027777777777777804,0.0,0.10185185185185186
oos_geometry,AABC minus AAB,seed_person_t025,8,0.027777777777777804,0.0027350786131285654,0.103247892696487
oos_geometry,AABC minus AAB,seed_type4,8,0.027777777777777804,0.010111538461538474,0.10796849235420665
oos_geometry,AB minus AA,seed_context_t025,9,0.13043478260869565,-0.00012169823210340513,0.39311070139428833
oos_geometry,AB minus AA,seed_equal,9,0.13043478260869565,0.0,0.391304347826087
oos_geometry,AB minus AA,seed_person_t025,9,0.13043478260869565,0.005700372617573939,0.3981325954247577
oos_geometry,AB minus AA,seed_type4,9,0.13043478260869565,0.01642446249402774,0.4099863354037267
oos_geometry,ABCD minus AABC,seed_context_t025,5,-1.2335811384723961e-17,-0.0011993245265933385,0.07554786405443299
oos_geometry,ABCD minus AABC,seed_equal,5,-1.2335811384723961e-17,0.0,0.07407407407407407
oos_geometry,ABCD minus AABC,seed_person_t025,5,-1.2335811384723961e-17,0.00016110456302318506,0.07782479330843967
oos_geometry,ABCD minus AABC,seed_type4,5,-1.2335811384723961e-17,0.004187519623233931,0.078261593697308
semi,AAB minus AA,seed_context_t025,18,0.06572769953051642,0.001558213508748397,0.16132682896557152
semi,AAB minus AA,seed_equal,18,0.06572769953051642,0.0,0.1596244131455399
semi,AAB minus AA,seed_person_t025,18,0.06572769953051642,0.005468284624867918,0.1647391185160546
semi,AAB minus AA,seed_type4,18,0.06572769953051642,0.0331879406617218,0.18817233856789653
semi,AABC minus AAB,seed_context_t025,17,0.06250000000000001,1.3674145503201479e-05,0.09888235754715373
semi,AABC minus AAB,seed_equal,17,0.06250000000000001,0.0,0.09821428571428573
semi,AABC minus AAB,seed_person_t025,17,0.06250000000000001,0.0015142225728717897,0.1000273349811751
semi,AABC minus AAB,seed_type4,17,0.06250000000000001,0.0021442494759949626,0.09936381157598288
semi,AB minus AA,seed_context_t025,18,0.1267605633802817,0.002103955671221023,0.24202053275742777
semi,AB minus AA,seed_equal,18,0.1267605633802817,0.0,0.23943661971830985
semi,AB minus AA,seed_person_t025,18,0.1267605633802817,0.008239270337073458,0.24705866427654205
semi,AB minus AA,seed_type4,18,0.1267605633802817,0.04978191099258271,0.28225850785184475
semi,ABCD minus AABC,seed_context_t025,17,0.09748427672955975,0.003914254737053356,0.15974829323034828
semi,ABCD minus AABC,seed_equal,17,0.09748427672955975,0.0,0.16037735849056603
semi,ABCD minus AABC,seed_person_t025,17,0.09748427672955975,0.007920455352478291,0.16091583152998484
semi,ABCD minus AABC,seed_type4,17,0.09748427672955975,0.012903228349506588,0.1626359946501767
