role,path,size_bytes,sha256,expected_size_bytes,expected_sha256,record_count,schema_observed,status
canonical_geometry,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_geometry.jsonl,1891449,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,1891449,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,780,jsonl_fields_validated,pass
canonical_annotations,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,845213,c6160151a1be468d16f83bb4397e7d09f8e8d43a2ce8725d35bb19d5c1bea724,845213,c6160151a1be468d16f83bb4397e7d09f8e8d43a2ce8725d35bb19d5c1bea724,780,csv_columns_validated,pass
pairwise_geometry,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_pairwise_similarity_C1.csv,3115238,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7,3115238,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7,3564,schema_version=paper_a_vfinal_sidecar_v1;rule_version=geometry_loo_heldout_consensus_v3,pass
crowd_structure,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/geometry_task_crowd_structure_C1.csv,103147,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,103147,5aa04db57efd9606a27d94d7718a62df52302854d5bc5de7d89d5edca0c2f090,101,schema_version=geometry_cluster_v2;rule_version=geometry_loo_heldout_consensus_v3,pass
building_binding,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_building_binding.csv,15853,e95af0b12db496ad3f1cfdf4e6edef22597f550a51822a3a95103f0dc44cfa4b,15853,e95af0b12db496ad3f1cfdf4e6edef22597f550a51822a3a95103f0dc44cfa4b,87,csv_columns_validated,pass
gt_quality,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_gt_quality_evidence.csv,395269,7b32a7f4a273b26064c3308368cef45aa2c71efb8bde390abf75a92634a3da3a,395269,7b32a7f4a273b26064c3308368cef45aa2c71efb8bde390abf75a92634a3da3a,780,csv_columns_validated,pass
evidence_freeze,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_evidence_freeze_manifest.json,8128,9ca7fee87cd07b2cdb4193a2c11916595b72409c6517e959c8f9ec206dc3a248,8128,9ca7fee87cd07b2cdb4193a2c11916595b72409c6517e959c8f9ec206dc3a248,1,c1_evidence_freeze_manifest_v6,pass
assignment_manual,analysis_results/calibration_rebuild_20260702/assignment_manifest_C1_manual_draft_v3_1.csv,99958,2953929d2ded1e7600fc35c46f805d8c61fdbe76a98a9f218e1777b141cfaa52,99958,2953929d2ded1e7600fc35c46f805d8c61fdbe76a98a9f218e1777b141cfaa52,651,manifest_version=C1_manual_v3_1_draft,pass
assignment_semi,analysis_results/calibration_rebuild_20260702/assignment_manifest_C1_semi_draft_v3_1.csv,16844,82c9a778c8852adf55cb27b3dff75b673668d75c83a7e9b87718f69ffb3abbc9,16844,82c9a778c8852adf55cb27b3dff75b673668d75c83a7e9b87718f69ffb3abbc9,100,manifest_version=C1_semi_v3_1_draft,pass
assignment_overlap_audit,analysis_results/calibration_rebuild_20260702/manual_semi_same_image_overlap_audit_v3_1.csv,6440,6b7eaa93ca27ad2b60f33da1438bb1609ad913e11053415cbfc95eb08da7fd95,6440,6b7eaa93ca27ad2b60f33da1438bb1609ad913e11053415cbfc95eb08da7fd95,100,csv_columns_validated,pass
legacy_difficulty,analysis_results/calibration_rebuild_20260702/calibration_core_draft_v3_1.csv,65239,3d55e9d71aa594fae85843020c97a7ea47deee05307b813a0371151854c20874,65239,3d55e9d71aa594fae85843020c97a7ea47deee05307b813a0371151854c20874,75,csv_columns_validated,pass
semi_review,analysis_results/paper_a_data_mining_package_20260820_v1/curated/semi_review_fact.csv,579521,bd9523c917aada4a4026a7cf49ab28ba7d9b5199c6f72ebdb610c2d1a92390cf,579521,bd9523c917aada4a4026a7cf49ab28ba7d9b5199c6f72ebdb610c2d1a92390cf,574,csv_columns_validated,pass
raw_annotation,analysis_results/paper_a_data_mining_package_20260820_v1/curated/raw_annotation_fact.csv,24647192,ebb2a89181479188a9ee289c389369e5f4f743e27c927b197dd8d11d01d84415,24647192,ebb2a89181479188a9ee289c389369e5f4f743e27c927b197dd8d11d01d84415,2513,csv_columns_validated,pass
legacy_association_matrix,analysis_results/paper_a_data_mining_package_20260820_v1/curated/association_matrix.csv,8655,f87c9ab65a02e3643ed1e56fa34a03752fe64cfd55c5d1889a76a4eecb29a308,8655,f87c9ab65a02e3643ed1e56fa34a03752fe64cfd55c5d1889a76a4eecb29a308,28,csv_columns_validated,pass
prescreen_profile,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_r0_snapshot.csv,8969,68dde2b5f4ebf09515956e0e99198b43107e223e84795e875c4f0c9383955c35,8969,68dde2b5f4ebf09515956e0e99198b43107e223e84795e875c4f0c9383955c35,29,csv_columns_validated,pass
preassignment_feature_manifest,analysis_results/stage3_test_preparation_20260804_v1/stage3_test_feature_candidate_manifest.json,2572,53babcd5fa88adb71b547db41941838472f9287e3774e91653a7b2bd06e00e86,2572,53babcd5fa88adb71b547db41941838472f9287e3774e91653a7b2bd06e00e86,1,paper_a_stage3_test_feature_candidate_v1,pass
