worker_id,planned_manual_load,planned_semi_load,realized_manual_load,realized_semi_load
1,5,5,6,7
10,3,3,3,3
11,6,4,6,4
12,5,3,5,3
13,5,3,5,3
15,6,3,6,3
17,3,4,3,4
18,5,4,5,4
2,5,5,5,5
27,3,4,3,4
28,4,5,4,5
29,4,3,4,3
30,4,4,4,4
31,3,4,3,4
32,5,4,5,4
33,8,4,8,4
34,7,4,11,6
35,5,4,5,4
36,3,4,3,4
37,7,3,7,3
6,4,4,4,3
8,5,3,5,3
