base_task_id,building_id,common_k,manual_subset_count,manual_shannon_entropy,semi_shannon_entropy,delta_shannon_entropy,manual_gini_simpson,semi_gini_simpson,delta_gini_simpson,manual_largest_mode_share,semi_largest_mode_share,delta_largest_mode_share,manual_supported_multimodality,semi_supported_multimodality,delta_supported_multimodality,manual_mode_count,semi_mode_count,delta_mode_count
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,4,5,0.848766520351474,-0.0,-0.848766520351474,0.525,0.0,-0.525,0.6,1.0,0.4,0.0,0.0,0.0,2.6,1.0,-1.6
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,4,5,0.848766520351474,1.0397207708399179,0.19095425048844383,0.525,0.625,0.09999999999999998,0.6,0.5,-0.09999999999999998,0.0,0.0,0.0,2.6,3.0,0.3999999999999999
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,4,5,0.44986811569504664,-0.0,-0.44986811569504664,0.3,0.0,-0.3,0.8,1.0,0.19999999999999996,0.0,0.0,0.0,1.8,1.0,-0.8
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,4,5,0.44986811569504664,0.5623351446188083,0.11246702892376165,0.3,0.375,0.07500000000000001,0.8,0.75,-0.050000000000000044,0.0,0.0,0.0,1.8,2.0,0.19999999999999996
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,4,5,0.9704060527839233,1.0397207708399179,0.06931471805599454,0.6,0.625,0.025000000000000022,0.5,0.5,0.0,0.2,0.0,-0.2,2.8,3.0,0.20000000000000018
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,4,5,0.848766520351474,0.5623351446188083,-0.28643137573266575,0.525,0.375,-0.15000000000000002,0.6,0.75,0.15000000000000002,0.0,0.0,0.0,2.6,2.0,-0.6000000000000001
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,4,5,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,4,5,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,4,5,0.0,1.3862943611198906,1.3862943611198906,0.0,0.75,0.75,1.0,0.25,-0.75,0.0,0.0,0.0,1.0,4.0,3.0
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,3,10,0.38190850097688767,-0.0,-0.38190850097688767,0.2666666666666667,0.0,-0.2666666666666667,0.8,1.0,0.19999999999999996,0.0,0.0,0.0,1.6,1.0,-0.6000000000000001
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,4,5,0.44986811569504664,0.5623351446188083,0.11246702892376165,0.3,0.375,0.07500000000000001,0.8,0.75,-0.050000000000000044,0.0,0.0,0.0,1.8,2.0,0.19999999999999996
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,4,5,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,4,5,0.44986811569504664,0.5623351446188083,0.11246702892376165,0.3,0.375,0.07500000000000001,0.8,0.75,-0.050000000000000044,0.0,0.0,0.0,1.8,2.0,0.19999999999999996
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,4,5,1.178350206951907,-0.0,-1.178350206951907,0.675,0.0,-0.675,0.4,1.0,0.6,0.0,0.0,0.0,3.4,1.0,-2.4
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,4,5,0.848766520351474,-0.0,-0.848766520351474,0.525,0.0,-0.525,0.6,1.0,0.4,0.0,0.0,0.0,2.6,1.0,-1.6
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,4,5,0.0,0.5623351446188083,0.5623351446188083,0.0,0.375,0.375,1.0,0.75,-0.25,0.0,0.0,0.0,1.0,2.0,1.0
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,4,5,0.6408223661834905,-0.0,-0.6408223661834905,0.45,0.0,-0.45,0.6,1.0,0.4,0.6,0.0,-0.6,2.0,1.0,-1.0
