role,declared_path,repository_path,declared_sha256,actual_sha256,status
FORMAL_AUDIT,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/formal_audit_summary.json,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/formal_audit_summary.json,948a6c2adf858f3d482b657e5de6166cabedd7d6035c7028e1c3b829deb2b231,948a6c2adf858f3d482b657e5de6166cabedd7d6035c7028e1c3b829deb2b231,pass
CANONICAL_CLOSEOUT,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_final_canonical_closeout_summary.json,,e513a5ccfd6321cbed081d6e04991005c8241761fcde7bff517049ef2d097111,,missing_or_sha_mismatch
MEASUREMENT_FREEZE,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_measurement_freeze_manifest.json,,96487438a663230aa403035260cf14dc8517ee9f02abf1830d370fb5309aaca5,,missing_or_sha_mismatch
WORKER_PROFILE_MANIFEST,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_three_track_worker_state_manifest.json,,860aba3670def109ce2b5a068dbe3f04c5ad8a96f94b7ed4543e10f47063f512,,missing_or_sha_mismatch
WORKER_PROFILE,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_three_track_worker_state_formal.csv,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_three_track_worker_state_formal.csv,f1828ea7658252449a85d8a95af67e13b3b1ca011e199dba1d85cf67efbb8f33,f1828ea7658252449a85d8a95af67e13b3b1ca011e199dba1d85cf67efbb8f33,pass
ENROLLMENT_REGISTRY,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/calibration_enrollment_registry.csv,,19bf564a3328ecb8db47478bc8654411e19c71d58679fe8613fee6270043896d,,missing_or_sha_mismatch
ENROLLMENT_REGISTRY_SUMMARY,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/calibration_enrollment_registry.summary.json,,0876e2c08e31c876c7f626ad03f3f8b8e83b2b2c8f1fbf464ac39ab05f7b4a98,,missing_or_sha_mismatch
REFERENCE_REGISTRY,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_outcome_reference.csv,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,03cc8c97fef855682e7b5909a52f9ed62763616b26983e302da7613ab8ba666b,pass
BUILDING_REGISTRY,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/raw_snapshots/contracts/c9b34605edce_authoritative_building_registry.csv,,c9b34605edce30f7edfc725808607093d20e18ba8c8bf2496c11d0afac04df2b,,missing_or_sha_mismatch
TASK_BUILDING_BINDING,D:/Work/HOHONET/analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_building_binding.csv,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_task_building_binding.csv,e95af0b12db496ad3f1cfdf4e6edef22597f550a51822a3a95103f0dc44cfa4b,e95af0b12db496ad3f1cfdf4e6edef22597f550a51822a3a95103f0dc44cfa4b,pass
