condition,pair_count,metric_compatible_count,correspondence_compatible_count,correspondence_incompatible_count,analysis_role
manual,220,220,149,71,pairwise_metric_semantics_audit
semi,129,129,83,46,pairwise_metric_semantics_audit
all,349,349,232,117,pairwise_metric_semantics_audit
