variant,rows,images,workers,buildings,sse,baseline_sse,r2,building_equal_r2
latest_canonical_manual,667,87,23,13,822.042408563872,916.1490683229813,0.10271981166926514,0.07605078335367566
latest_canonical_manual_to_semi,103,25,23,9,78.92207772004826,89.5,0.11818907575365067,0.16555355799292482
