stage,condition,feature_name,evaluation_kind,rows,legacy_flags,peer_center_confounding_flags
C1,manual,d_mask_to_reference,heldout_task_fold,166,28,0
C1,manual,d_mask_to_reference,leave_one_building_out,300,43,4
C1,manual,log_owner_valid_active_seconds,heldout_task_fold,109,6,1
C1,manual,log_owner_valid_active_seconds,leave_one_building_out,235,42,15
C1,manual,reference_corner_cyclic_rmse,heldout_task_fold,111,3,1
C1,manual,reference_corner_cyclic_rmse,leave_one_building_out,174,9,0
C1,manual,reference_corresponding_signed_x_offset,heldout_task_fold,65,0,0
C1,manual,reference_corresponding_signed_x_offset,leave_one_building_out,76,0,0
C1,manual,reference_signed_corner_pair_count_difference,heldout_task_fold,192,34,0
C1,manual,reference_signed_corner_pair_count_difference,leave_one_building_out,300,39,3
C1,semi,d_mask_to_reference,heldout_task_fold,67,0,0
C1,semi,d_mask_to_reference,leave_one_building_out,84,0,0
C1,semi,log_owner_valid_active_seconds,heldout_task_fold,68,0,0
C1,semi,log_owner_valid_active_seconds,leave_one_building_out,82,0,0
C1,semi,reference_corner_cyclic_rmse,heldout_task_fold,46,0,0
C1,semi,reference_corner_cyclic_rmse,leave_one_building_out,41,0,0
C1,semi,reference_signed_corner_pair_count_difference,heldout_task_fold,72,0,0
C1,semi,reference_signed_corner_pair_count_difference,leave_one_building_out,84,0,0
C1,semi,semi_delta_U,heldout_task_fold,62,0,0
C1,semi,semi_delta_U,leave_one_building_out,79,0,0
C1,semi,semi_initial_to_final_rmse,heldout_task_fold,46,0,0
C1,semi,semi_initial_to_final_rmse,leave_one_building_out,43,0,0
C2-A-RP,manual,d_mask_to_reference,heldout_task_fold,16,0,0
C2-A-RP,manual,d_mask_to_reference,leave_one_building_out,15,0,0
C2-A-RP,manual,reference_corner_cyclic_rmse,heldout_task_fold,10,0,0
C2-A-RP,manual,reference_corner_cyclic_rmse,leave_one_building_out,4,0,0
C2-A-RP,manual,reference_signed_corner_pair_count_difference,heldout_task_fold,19,0,0
C2-A-RP,manual,reference_signed_corner_pair_count_difference,leave_one_building_out,15,0,0
C2-B,manual,d_mask_to_reference,heldout_task_fold,33,4,0
C2-B,manual,d_mask_to_reference,leave_one_building_out,44,2,0
C2-B,manual,log_owner_valid_active_seconds,heldout_task_fold,86,10,2
C2-B,manual,log_owner_valid_active_seconds,leave_one_building_out,95,12,5
C2-B,manual,reference_corner_cyclic_rmse,heldout_task_fold,53,0,0
C2-B,manual,reference_corner_cyclic_rmse,leave_one_building_out,32,0,0
C2-B,manual,reference_signed_corner_pair_count_difference,heldout_task_fold,60,0,0
C2-B,manual,reference_signed_corner_pair_count_difference,leave_one_building_out,44,2,0
P1,manual,d_mask_to_reference,heldout_task_fold,127,14,0
P1,manual,d_mask_to_reference,leave_one_building_out,274,22,0
P1,manual,log_owner_valid_active_seconds,heldout_task_fold,100,2,0
P1,manual,log_owner_valid_active_seconds,leave_one_building_out,240,10,0
P1,manual,reference_corner_cyclic_rmse,heldout_task_fold,124,4,0
P1,manual,reference_corner_cyclic_rmse,leave_one_building_out,248,2,0
P1,manual,reference_corresponding_signed_x_offset,heldout_task_fold,123,1,0
P1,manual,reference_corresponding_signed_x_offset,leave_one_building_out,247,1,0
P1,manual,reference_signed_corner_pair_count_difference,heldout_task_fold,128,7,0
P1,manual,reference_signed_corner_pair_count_difference,leave_one_building_out,274,33,0
P1,oos,log_owner_valid_active_seconds,heldout_task_fold,60,3,0
P1,oos,log_owner_valid_active_seconds,leave_one_building_out,120,15,0
P1,semi,d_mask_to_reference,heldout_task_fold,206,33,0
P1,semi,d_mask_to_reference,leave_one_building_out,310,39,0
P1,semi,log_owner_valid_active_seconds,heldout_task_fold,98,2,0
P1,semi,log_owner_valid_active_seconds,leave_one_building_out,196,19,0
P1,semi,reference_corner_cyclic_rmse,heldout_task_fold,209,12,0
P1,semi,reference_corner_cyclic_rmse,leave_one_building_out,254,19,0
P1,semi,reference_corresponding_signed_x_offset,heldout_task_fold,124,21,2
P1,semi,reference_corresponding_signed_x_offset,leave_one_building_out,144,23,1
P1,semi,reference_signed_corner_pair_count_difference,heldout_task_fold,234,12,0
P1,semi,reference_signed_corner_pair_count_difference,leave_one_building_out,310,40,0
P1,semi,semi_delta_U,heldout_task_fold,234,39,0
P1,semi,semi_delta_U,leave_one_building_out,312,54,0
P1,semi,semi_initial_to_final_rmse,heldout_task_fold,140,8,0
P1,semi,semi_initial_to_final_rmse,leave_one_building_out,127,13,1
