image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.05,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.075,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.1,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.125,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.15,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,0.2,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.05,3,0,0,0,3,2,1,1,1,0.333333333333,0.666666666667,0.666666666667,1.8,0.918295834054,0,0.025364286464,2;1,0.333333333333,0.833333333333,1,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.075,3,0,0,0,3,2,1,1,1,0.333333333333,0.666666666667,0.666666666667,1.8,0.918295834054,0,0.025364286464,2;1,0.333333333333,0.833333333333,0,1,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.1,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.125,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.15,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,0.2,3,0,0,0,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.05,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.075,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.1,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.125,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.15,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,0.2,1,0,0,0,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.05,5,0,0,0,5,3,2,1,2,0.2,0.8,0.4,2.77777777778,1.52192809489,0.4,0.0222040454646,2;2;1,0.2,0.9,1,0,1,0,False,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.075,5,0,0,0,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.1,5,0,0,0,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.125,5,0,0,0,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,0.15,5,0,0,0,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1
