condition,cut,rule,early_k,process_tier,images
manual,0.05,D10_distribution,2,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,2,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,2,insufficient_observed_people,51
manual,0.05,D10_distribution,2,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,2,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,2,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,2,singleton_support_insufficient,8
manual,0.05,D10_distribution,2,stable_many_supported_modes,2
manual,0.05,D10_distribution,3,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,3,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,3,insufficient_observed_people,51
manual,0.05,D10_distribution,3,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,3,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,3,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,3,singleton_support_insufficient,8
manual,0.05,D10_distribution,3,stable_many_supported_modes,2
manual,0.05,D10_distribution,4,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,4,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,4,insufficient_observed_people,51
manual,0.05,D10_distribution,4,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,4,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,4,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,4,singleton_support_insufficient,8
manual,0.05,D10_distribution,4,stable_many_supported_modes,2
manual,0.05,D10_distribution,5,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,5,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,5,insufficient_observed_people,51
manual,0.05,D10_distribution,5,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,5,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,5,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,5,singleton_support_insufficient,8
manual,0.05,D10_distribution,5,stable_many_supported_modes,2
manual,0.05,D10_distribution,6,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,6,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,6,insufficient_observed_people,51
manual,0.05,D10_distribution,6,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,6,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,6,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,6,singleton_support_insufficient,8
manual,0.05,D10_distribution,6,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,insufficient_observed_people,51
manual,0.05,D10_distribution,7,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,stable_many_supported_modes,2
manual,0.05,D20_distribution,2,early_one_or_two_supported_modes,4
manual,0.05,D20_distribution,2,insufficient_horizon_or_other_trajectory,81
manual,0.05,D20_distribution,2,insufficient_observed_people,51
manual,0.05,D20_distribution,2,intermediate_or_order_sensitive,7
manual,0.05,D20_distribution,2,invalid_records_preclude_process_tier,12
manual,0.05,D20_distribution,2,observed_fragmented_late_changes,22
manual,0.05,D20_distribution,2,singleton_support_insufficient,8
manual,0.05,D20_distribution,2,stable_many_supported_modes,2
manual,0.05,D20_distribution,3,early_one_or_two_supported_modes,4
manual,0.05,D20_distribution,3,insufficient_horizon_or_other_trajectory,81
manual,0.05,D20_distribution,3,insufficient_observed_people,51
manual,0.05,D20_distribution,3,intermediate_or_order_sensitive,7
