image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,2,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,3,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,4,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,5,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,6,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,7,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,2,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,3,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,4,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,5,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,6,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,7,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,2,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,3,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,4,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,5,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,6,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,7,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,2,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,3,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,4,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,5,3,3,0,1,0,0,0,,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,6,3,3,0,1,0,0,0,,0
