image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry,late_h,max_few_modes,max_singleton_mass,order_fraction_required,p_sustained_onset_between_k_and_h,process_tier,difficulty_tag,difficulty_status,scene_category,main_function_primary,room_status
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.1,D10_distribution,7,24,23,1,5,0.260869565217,0,0,,0.221666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.1,D20_distribution,7,24,23,1,5,0.260869565217,0,0,,0.221666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.1,G10_geometry,7,24,23,1,5,0.260869565217,0,0,,0.221666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.2,P_pattern,7,24,23,1,5,0.0869565217391,0,0,,0.0891666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.2,D10_distribution,7,24,23,1,5,0.0869565217391,0,0,,0.0891666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.2,D20_distribution,7,24,23,1,5,0.0869565217391,0,0,,0.0891666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,0.2,G10_geometry,7,24,23,1,5,0.0869565217391,0,0,,0.0891666666667,15,3,0.1,0.8,0,invalid_records_preclude_process_tier,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.05,P_pattern,7,6,6,0,2,0.333333333333,0,0,,0.443333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.05,D10_distribution,7,6,6,0,2,0.333333333333,0,0,,0.443333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,0.05,D20_distribution,7,6,6,0,2,0.333333333333,0,0,,0.443333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,简单,labelled,通行与连接,circulation,overlap_with_pending_or_unsupported
