image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry,late_h,max_few_modes,max_singleton_mass,order_fraction_required,p_sustained_onset_between_k_and_h,process_tier,difficulty_tag,difficulty_status,scene_category,main_function_primary,room_status
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,P_pattern,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D10_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,D20_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,G10_geometry,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,P_pattern,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D10_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,D20_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,G10_geometry,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,P_pattern,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D10_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,D20_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,G10_geometry,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,通行与连接,unknown,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,P_pattern,7,3,3,0,1,0.333333333333,0,0,,0.5,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D10_distribution,7,3,3,0,1,0.333333333333,0,0,,0.5,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,D20_distribution,7,3,3,0,1,0.333333333333,0,0,,0.5,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,G10_geometry,7,3,3,0,1,0.333333333333,0,0,,0.5,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,P_pattern,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D10_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,D20_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,G10_geometry,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,P_pattern,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,D10_distribution,7,3,3,0,1,0,0,0,,0,15,3,0.1,0.8,0,insufficient_observed_people,,not_recorded,卧室,sleep,supported_component
