condition,cut,rule,confirmation,early_k,late_h,process_tier,images
manual,0.05,D10_distribution,suffix_and_tail,4,18,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,4,18,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,4,18,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,4,18,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,4,19,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,4,19,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,4,19,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,4,19,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,4,19,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,4,19,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,4,19,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,5,10,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,5,10,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,5,10,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,5,10,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,5,10,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,5,10,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,5,10,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,5,12,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,5,12,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,5,12,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,5,12,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,5,12,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,5,12,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,5,12,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,5,15,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,5,15,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,5,15,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,5,15,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,5,15,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,5,15,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,5,15,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,5,18,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,5,18,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,5,18,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,5,18,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,5,18,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,5,18,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,5,18,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,5,19,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,5,19,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,5,19,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,5,19,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,5,19,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,5,19,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,5,19,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,6,10,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,6,10,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,6,10,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,6,10,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,6,10,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,6,10,observed_fragmented_confirmation_not_a_convergence_test,22
manual,0.05,D10_distribution,suffix_and_tail,6,10,singleton_support_insufficient,8
manual,0.05,D10_distribution,suffix_and_tail,6,12,early_one_or_two_supported_modes,4
manual,0.05,D10_distribution,suffix_and_tail,6,12,insufficient_horizon_or_other_trajectory,81
manual,0.05,D10_distribution,suffix_and_tail,6,12,insufficient_observed_people,51
manual,0.05,D10_distribution,suffix_and_tail,6,12,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,suffix_and_tail,6,12,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,suffix_and_tail,6,12,observed_fragmented_confirmation_not_a_convergence_test,22
