replicate,channel,contrast,task_count,mean_contrast,image_contrast_sd
0,boundary,C_minus_M,42,-0.0025228589750291987,0.012072638703259876
0,boundary,W_minus_M,42,-5.9085170643789044e-05,0.013797827137623887
0,boundary,W_minus_C,42,0.002463773804385409,0.014284429174055988
0,wall,C_minus_M,42,-0.005379311824391026,0.015895300032273775
0,wall,W_minus_M,42,-0.0028626106692943567,0.02022256578557565
0,wall,W_minus_C,42,0.002516701155096669,0.02303431887551218
1,boundary,C_minus_M,42,-0.0009869177419922384,0.020026600011918826
1,boundary,W_minus_M,42,-0.004514863750246303,0.014370443466778423
1,boundary,W_minus_C,42,-0.0035279460082540642,0.01823599558747488
1,wall,C_minus_M,42,-0.001390898020602499,0.025646020810378145
1,wall,W_minus_M,42,-0.008252001196996357,0.025839048388794205
1,wall,W_minus_C,42,-0.0068611031763938565,0.022629637796422523
2,boundary,C_minus_M,42,-0.0006616480904206343,0.016865537988717913
2,boundary,W_minus_M,42,0.002012666527830687,0.013391608430095667
2,boundary,W_minus_C,42,0.0026743146182513214,0.016296968076812923
2,wall,C_minus_M,42,-0.0002996564631557047,0.031755774288678845
2,wall,W_minus_M,42,-0.0013612798506518712,0.020019352900664027
2,wall,W_minus_C,42,-0.0010616233874961658,0.030642077545178444
3,boundary,C_minus_M,42,-0.0028356168278846046,0.01918860174118136
3,boundary,W_minus_M,42,-0.002398330785316924,0.019033737634834354
3,boundary,W_minus_C,42,0.0004372860425676809,0.012916771189899139
3,wall,C_minus_M,42,-0.005010679134091959,0.024344587635924467
3,wall,W_minus_M,42,5.56322194827847e-06,0.02814038622485139
3,wall,W_minus_C,42,0.005016242356040237,0.021322463405571496
4,boundary,C_minus_M,42,0.0009049144951687135,0.015583343075791995
4,boundary,W_minus_M,42,0.0006481874513261718,0.013705744814675885
4,boundary,W_minus_C,42,-0.00025672704384254217,0.01660690512674887
4,wall,C_minus_M,42,-0.001069754941706181,0.024230215198353194
4,wall,W_minus_M,42,-0.003537412626799335,0.02067623417380515
4,wall,W_minus_C,42,-0.002467657685093154,0.02352634791872651
5,boundary,C_minus_M,42,0.0020374216789034107,0.015759139249913314
5,boundary,W_minus_M,42,0.001769702925467074,0.01883404350281998
5,boundary,W_minus_C,42,-0.00026771875343633693,0.016511036889131765
5,wall,C_minus_M,42,0.0020333873998686623,0.022094508189937297
5,wall,W_minus_M,42,0.0024414516854176062,0.021800732692298024
5,wall,W_minus_C,42,0.00040806428554894395,0.024092367152765425
6,boundary,C_minus_M,42,-0.0035344749330245445,0.017593554194825
6,boundary,W_minus_M,42,-0.0023713717020236373,0.016813170877262768
6,boundary,W_minus_C,42,0.001163103231000908,0.012406033822980878
6,wall,C_minus_M,42,-0.00280161244091953,0.02330657695666028
6,wall,W_minus_M,42,-0.001972821764165545,0.027877688488252922
6,wall,W_minus_C,42,0.0008287906767539861,0.02527144267988179
7,boundary,C_minus_M,42,0.00019666044040012027,0.01546332377883065
7,boundary,W_minus_M,42,-0.00046902898126745745,0.013926086174586834
7,boundary,W_minus_C,42,-0.0006656894216675766,0.017465395348381645
7,wall,C_minus_M,42,0.004244335067913139,0.020952101877212748
7,wall,W_minus_M,42,0.006054467705474248,0.021473898553381693
7,wall,W_minus_C,42,0.0018101326375611095,0.02535823183841612
8,boundary,C_minus_M,42,0.0012910892241816904,0.019101435704690774
8,boundary,W_minus_M,42,-0.0014272885830393881,0.018407945646926573
8,boundary,W_minus_C,42,-0.0027183778072210787,0.01767581359411811
8,wall,C_minus_M,42,0.0001833931271462842,0.025920194781201878
8,wall,W_minus_M,42,-0.0024502007073525156,0.030488566563010047
8,wall,W_minus_C,42,-0.0026335938344987974,0.027736842467893902
9,boundary,C_minus_M,42,0.0001100898443810152,0.011091634544767862
9,boundary,W_minus_M,42,0.005349853341342613,0.01873964906999405
9,boundary,W_minus_C,42,0.005239763496961598,0.01967227374316776
9,wall,C_minus_M,42,0.0032803600761456097,0.01964724437103127
9,wall,W_minus_M,42,0.008763618434607934,0.030282751532999988
9,wall,W_minus_C,42,0.0054832583584623245,0.030978137511728752
10,boundary,C_minus_M,42,0.0008334311743174929,0.013300892874669913
10,boundary,W_minus_M,42,-0.0009790072535135954,0.009947778481496352
10,boundary,W_minus_C,42,-0.0018124384278310876,0.013758155951038152
10,wall,C_minus_M,42,0.003580958311302464,0.026777587790379084
10,wall,W_minus_M,42,-0.0009781410156409235,0.021909923287722753
10,wall,W_minus_C,42,-0.004559099326943388,0.020794784848364754
11,boundary,C_minus_M,42,-0.003901895460054339,0.015550443466276214
11,boundary,W_minus_M,42,0.0022113455995440854,0.01674521667701937
11,boundary,W_minus_C,42,0.006113241059598426,0.015096363811586787
11,wall,C_minus_M,42,-0.003947162790810796,0.01668967558680896
11,wall,W_minus_M,42,0.008180313819706051,0.025612305315973548
11,wall,W_minus_C,42,0.012127476610516849,0.02195180312628909
12,boundary,C_minus_M,42,-0.0024912254039854203,0.015168953932860045
12,boundary,W_minus_M,42,-0.00023634246655881747,0.016742370480444788
12,boundary,W_minus_C,42,0.002254882937426604,0.013009955626128123
12,wall,C_minus_M,42,8.475777672044235e-05,0.028360330230498918
12,wall,W_minus_M,42,0.005760649822361172,0.02162873787331111
12,wall,W_minus_C,42,0.005675892045640731,0.03117771753765557
13,boundary,C_minus_M,42,-0.004546355744253263,0.01916053242617977
13,boundary,W_minus_M,42,-0.00603315970150405,0.011749347569052944
13,boundary,W_minus_C,42,-0.001486803957250786,0.01688530046194903
13,wall,C_minus_M,42,-0.005303390733508035,0.020186926438171233
13,wall,W_minus_M,42,-0.0072279495223932936,0.021286350717063564
13,wall,W_minus_C,42,-0.0019245587888852582,0.018050170736512095
14,boundary,C_minus_M,42,-0.0004873032200160688,0.01698165180438714
14,boundary,W_minus_M,42,0.0015439895317146699,0.01809153497041418
14,boundary,W_minus_C,42,0.002031292751730739,0.011744159011938439
14,wall,C_minus_M,42,0.0014658275307446382,0.029986496798869982
14,wall,W_minus_M,42,0.0011952263418544696,0.023796269976138325
14,wall,W_minus_C,42,-0.00027060118889016933,0.023879581699883204
15,boundary,C_minus_M,42,0.00023069431773741208,0.011448337218865335
15,boundary,W_minus_M,42,0.001539432074925306,0.01895932173230159
15,boundary,W_minus_C,42,0.001308737757187892,0.019308241447604645
15,wall,C_minus_M,42,-0.006412028584492362,0.021053146727603705
15,wall,W_minus_M,42,0.0014772964019626699,0.026551573774889557
15,wall,W_minus_C,42,0.00788932498645503,0.02507684411752834
16,boundary,C_minus_M,42,-0.0015725556596162577,0.012296997027098616
16,boundary,W_minus_M,42,-0.001700855561087155,0.015502369928977177
16,boundary,W_minus_C,42,-0.00012829990147089726,0.014654888611980053
16,wall,C_minus_M,42,-0.0050116680865814455,0.021823998322877295
16,wall,W_minus_M,42,-0.007799548595489882,0.023186463629776125
16,wall,W_minus_C,42,-0.002787880508908439,0.024422247372775416
17,boundary,C_minus_M,42,0.0032167818124862043,0.017523346886260498
17,boundary,W_minus_M,42,-0.003840539662208702,0.012030297448367701
17,boundary,W_minus_C,42,-0.007057321474694905,0.01917781468868455
17,wall,C_minus_M,42,-0.0017328835593468403,0.0280583765551454
