condition,target,design,method,status,target_images
manual,candidate_v2,all_other_building,dinov3__block12__faces_global,ok,61
manual,candidate_v2,all_other_building,dinov3__block12__panorama_mean,ok,61
manual,candidate_v2,all_other_building,dinov3__block3__panorama_mean,ok,61
manual,candidate_v2,all_other_building,dinov3__cls__panorama,ok,61
manual,candidate_v2,all_other_building,source_frequency_or_median,ok,61
manual,candidate_v2,all_other_building,uniform_random_source_expectation,ok,61
manual,candidate_v2,same_building_diagnostic,dinov3__block12__faces_global,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,dinov3__block12__faces_global,ok,57
manual,candidate_v2,same_building_diagnostic,dinov3__block12__panorama_mean,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,dinov3__block12__panorama_mean,ok,57
manual,candidate_v2,same_building_diagnostic,dinov3__block3__panorama_mean,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,dinov3__block3__panorama_mean,ok,57
manual,candidate_v2,same_building_diagnostic,dinov3__cls__panorama,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,dinov3__cls__panorama,ok,57
manual,candidate_v2,same_building_diagnostic,source_frequency_or_median,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,source_frequency_or_median,ok,57
manual,candidate_v2,same_building_diagnostic,uniform_random_source_expectation,no_eligible_source_history,4
manual,candidate_v2,same_building_diagnostic,uniform_random_source_expectation,ok,57
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__faces_global,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__faces_global,ok,59
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__panorama_mean,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__panorama_mean,ok,59
manual,candidate_v2,same_mainspace_other_building,dinov3__block3__panorama_mean,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,dinov3__block3__panorama_mean,ok,59
manual,candidate_v2,same_mainspace_other_building,dinov3__cls__panorama,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,dinov3__cls__panorama,ok,59
manual,candidate_v2,same_mainspace_other_building,source_frequency_or_median,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,source_frequency_or_median,ok,59
manual,candidate_v2,same_mainspace_other_building,uniform_random_source_expectation,no_eligible_source_history,2
manual,candidate_v2,same_mainspace_other_building,uniform_random_source_expectation,ok,59
manual,candidate_v2,same_scene_other_building,dinov3__block12__faces_global,no_eligible_source_history,4
manual,candidate_v2,same_scene_other_building,dinov3__block12__faces_global,ok,57
