condition,target,method,pure_image_feature,images,groups,delta,macro_delta,lo,hi
manual,candidate_v2,dinov3__block12__panorama_mean,constant,10,3,0.911525445229,0.591560460556,-1.00826446281,1.44189920866
manual,candidate_v2,dinov3__block12__panorama_mean,feedback_all,9,3,1.17622604398,0.680275158912,-0.807577496298,1.47319503441
manual,candidate_v2,dinov3__block12__panorama_mean,feedback_counts,9,3,1.17586775501,0.752830432823,-0.516281533745,1.50720715518
manual,candidate_v2,dinov3__block12__panorama_mean,scene_frequency,10,3,0.774922865014,0.389102387511,-1.54,1.38980716253
manual,candidate_v2,dinov3__block12__panorama_mean,selected_dino,10,3,0.730744669639,0.349599405007,-1.55612691815,1.41655617353
manual,candidate_v2,source_frequency_or_median,constant,10,3,0.911525445229,0.591560460556,-1.00826446281,1.44189920866
manual,candidate_v2,source_frequency_or_median,feedback_all,9,3,1.17622604398,0.680275158912,-0.807577496298,1.47319503441
manual,candidate_v2,source_frequency_or_median,feedback_counts,9,3,1.17586775501,0.752830432823,-0.516281533745,1.50720715518
manual,candidate_v2,source_frequency_or_median,scene_frequency,10,3,0.774922865014,0.389102387511,-1.54,1.38980716253
manual,candidate_v2,source_frequency_or_median,selected_dino,10,3,0.730744669639,0.349599405007,-1.55612691815,1.41655617353
manual,core10_p_by_19,dinov3__block12__panorama_mean,constant,24,7,0.216666666667,0.212761904762,0.135227272727,0.324117647059
manual,core10_p_by_19,dinov3__block12__panorama_mean,feedback_all,23,7,0.183858286073,0.188712256148,0.100416922297,0.295471041457
manual,core10_p_by_19,dinov3__block12__panorama_mean,feedback_counts,23,7,0.198285527179,0.205066448953,0.0993280848234,0.323138413451
manual,core10_p_by_19,dinov3__block12__panorama_mean,scene_frequency,24,7,0.150208333333,0.141738095238,0.047,0.25365625
manual,core10_p_by_19,dinov3__block12__panorama_mean,selected_dino,24,7,0.183524915136,0.146277222733,0.0448614885694,0.311145470105
manual,core10_p_by_19,source_frequency_or_median,constant,24,7,0.175625,0.163928571429,0.1182,0.22
manual,core10_p_by_19,source_frequency_or_median,feedback_all,23,7,0.144075677377,0.143521779957,0.0973534983411,0.193871180905
manual,core10_p_by_19,source_frequency_or_median,feedback_counts,23,7,0.158502918484,0.159875972762,0.117857140261,0.209807583612
manual,core10_p_by_19,source_frequency_or_median,scene_frequency,24,7,0.109166666667,0.0929047619048,0.0324910714286,0.179074074074
manual,core10_p_by_19,source_frequency_or_median,selected_dino,24,7,0.142483248469,0.0974438893997,0.0211905482328,0.213753494577
manual,core_tail_10,dinov3__block12__panorama_mean,constant,24,7,0.0869791666667,0.0619404761905,-0.022869047619,0.206354166667
manual,core_tail_10,dinov3__block12__panorama_mean,feedback_all,23,7,0.0917899955529,0.0578272443488,-0.0112383992016,0.17857508706
manual,core_tail_10,dinov3__block12__panorama_mean,feedback_counts,23,7,0.0942435590668,0.0658383151889,-0.00905882903289,0.186421671724
manual,core_tail_10,dinov3__block12__panorama_mean,scene_frequency,24,7,0.106875,0.085630952381,0.00963533834586,0.220211277174
manual,core_tail_10,dinov3__block12__panorama_mean,selected_dino,24,7,0.0404328072505,0.0285791319083,-0.0912352142082,0.184731065032
manual,core_tail_10,source_frequency_or_median,constant,24,7,0.0330208333333,0.0208452380952,-0.0335017857143,0.092595959596
