condition,metric,paired_views,components,mean_absolute_difference,nonzero_pairs
manual,total_clusters_absolute_difference,12,6,1.25,9
manual,supported_clusters_absolute_difference,12,6,0.833333333333,8
manual,singletons_absolute_difference,12,6,1.75,8
manual,singleton_share_absolute_difference,12,6,0.205061484409,8
manual,point_count_disagreement_absolute_difference,12,6,0.173205659075,10
manual,within_cluster_median_absolute_difference,10,5,0.018603547472,8
manual,full_by8_absolute_difference,12,6,0.19375,5
manual,core_by19_absolute_difference,12,6,0.338541666667,10
manual,core_tail_absolute_difference,12,6,0.227083333333,10
manual,late_quarter_new_absolute_difference,12,6,0.201736111111,10
oos_geometry,total_clusters_absolute_difference,4,2,4.5,4
oos_geometry,supported_clusters_absolute_difference,4,2,2.25,4
oos_geometry,singletons_absolute_difference,4,2,5.25,4
oos_geometry,singleton_share_absolute_difference,4,2,0.226902173913,4
oos_geometry,point_count_disagreement_absolute_difference,4,2,0.132658102767,3
oos_geometry,within_cluster_median_absolute_difference,4,2,0.00830835931911,4
oos_geometry,full_by8_absolute_difference,4,2,0,0
oos_geometry,core_by19_absolute_difference,4,2,0.2625,3
oos_geometry,core_tail_absolute_difference,4,2,0.340625,4
oos_geometry,late_quarter_new_absolute_difference,4,2,0.18125,4
