condition,target,design,method,subset,images,groups,delta,macro_delta,lo,hi
manual,candidate_v2,all_other_building,dinov3__block3__panorama_mean,all_available,61,15,0.520444055147,0.621149287858,0.345457836831,0.785619349408
manual,candidate_v2,all_other_building,dinov3__block12__panorama_mean,all_available,61,15,0.487657169901,0.467815954525,0.288655481617,0.734147343506
manual,candidate_v2,all_other_building,dinov3__cls__panorama,all_available,61,15,0.651591596131,0.631519658228,0.445996936072,0.882614784749
manual,candidate_v2,all_other_building,dinov3__block12__faces_global,all_available,61,15,0.553230940393,0.520408547117,0.299133770521,0.843423596011
manual,candidate_v2,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,57,11,0.276627859495,0.237856103624,0.0419460545112,0.547598189689
manual,candidate_v2,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,57,11,0.311715578794,0.267654083421,0.108086086284,0.532512851897
manual,candidate_v2,same_building_diagnostic,dinov3__cls__panorama,all_available,57,11,0.346803298092,0.296441962209,0.177316474985,0.496481679603
manual,candidate_v2,same_building_diagnostic,dinov3__block12__faces_global,all_available,57,11,0.346803298092,0.298967214735,0.0975363456051,0.556811503286
manual,candidate_v2,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,59,14,0.499583869216,0.501765041995,0.291581141159,0.685781752348
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,59,14,0.465685564131,0.393648158879,0.361226051991,0.569395991266
manual,candidate_v2,same_mainspace_other_building,dinov3__cls__panorama,all_available,59,14,0.465685564131,0.43361929885,0.244030981931,0.652189411699
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__faces_global,all_available,59,14,0.66907539464,0.693143108373,0.48073071799,0.884090336662
manual,candidate_v2,same_scene_other_building,dinov3__block3__panorama_mean,all_available,57,14,0.547811146494,0.524355026463,0.318438534465,0.766465233458
manual,candidate_v2,same_scene_other_building,dinov3__block12__panorama_mean,all_available,57,14,0.547811146494,0.425148677257,0.383136333068,0.73178352766
manual,candidate_v2,same_scene_other_building,dinov3__cls__panorama,all_available,57,14,0.688162023687,0.59975185186,0.524758014471,0.858274454522
manual,candidate_v2,same_scene_other_building,dinov3__block12__faces_global,all_available,57,14,0.653074304389,0.652132804241,0.440694864464,0.91475610882
manual,candidate_v2,supported_same_room,dinov3__block3__panorama_mean,all_available,10,3,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__block3__panorama_mean,mixed_room,8,2,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__block12__panorama_mean,all_available,10,3,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__block12__panorama_mean,mixed_room,8,2,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__cls__panorama,all_available,10,3,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__cls__panorama,mixed_room,8,2,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__block12__faces_global,all_available,10,3,0,0,0,0
manual,candidate_v2,supported_same_room,dinov3__block12__faces_global,mixed_room,8,2,0,0,0,0
manual,core10_p_by_19,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0487030075188,0.067704257548,-0.00600908984283,0.107549597002
manual,core10_p_by_19,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0780263157895,0.0858124479687,0.0202929522177,0.14291418934
manual,core10_p_by_19,all_other_building,dinov3__cls__panorama,all_available,133,20,0.106109022556,0.12112026862,0.0423976022013,0.185643200156
manual,core10_p_by_19,all_other_building,dinov3__block12__faces_global,all_available,133,20,0.061484962406,0.053727022977,0.0101841831841,0.11835546875
manual,core10_p_by_19,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,0.0463358778626,0.055450803055,0.00661186729688,0.0989945680859
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,0.0487404580153,0.0430502753419,0.00176796457219,0.099086880227
manual,core10_p_by_19,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,0.0680152671756,0.0721321117154,0.0275193124125,0.115235077519
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,0.0400381679389,0.0574592768343,-0.0219638157895,0.109683621121
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0316541353383,0.0200555607587,-0.0250811464638,0.100433193535
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0420676691729,0.0277093236624,-0.00144414893617,0.100513795045
manual,core10_p_by_19,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,0.0403383458647,0.0267393804113,-0.00984891304348,0.0929203634289
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,0.0657142857143,0.0576009320541,0.0242974824292,0.114961053578
manual,core10_p_by_19,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,0.0164087301587,0.0254783432941,-0.0334188274739,0.0739437476177
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,0.0447023809524,0.0560187809267,-0.00119054293218,0.111876482664
manual,core10_p_by_19,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,0.0423611111111,0.0516947175631,-0.0153695112911,0.102591156525
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,0.0606547619048,0.0714847214189,0.0301600748069,0.0995456118115
manual,core10_p_by_19,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,0.0733333333333,0.0693333333333,0,0.1712
manual,core10_p_by_19,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,0.0410416666667,0.0488333333333,-0.02875,0.153572368421
manual,core10_p_by_19,supported_same_room,dinov3__cls__panorama,all_available,24,7,0.038125,0.0471666666667,-0.0345833333333,0.15354
manual,core10_p_by_19,supported_same_room,dinov3__block12__faces_global,all_available,24,7,0.0589583333333,0.061119047619,-0.02875,0.1712
manual,core_tail_10,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.104511278195,0.130087811494,0.0747464267152,0.136656154919
manual,core_tail_10,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.119285714286,0.10545998446,0.0771558443286,0.149858902087
manual,core_tail_10,all_other_building,dinov3__cls__panorama,all_available,133,20,0.113120300752,0.125432730464,0.0628522446809,0.159947091723
manual,core_tail_10,all_other_building,dinov3__block12__faces_global,all_available,133,20,0.0501127819549,0.0247692793318,0.0178468708967,0.0738161279259
manual,core_tail_10,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,0.0750763358779,0.0593467566384,0.0366241901075,0.105116336383
manual,core_tail_10,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,0.0800381679389,0.0712956603582,0.0288964558574,0.136297761972
manual,core_tail_10,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,0.0836641221374,0.0774670661129,0.0240261883803,0.147804138041
manual,core_tail_10,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,0.0525954198473,0.0532395960521,-0.000422549687802,0.11500625
manual,core_tail_10,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0746428571429,0.0317654272811,0.0370287934923,0.115892307692
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0956203007519,0.0500701433983,0.0533559379599,0.126308461453
manual,core_tail_10,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,0.0356203007519,-0.0158580325924,-0.0193578756313,0.0764819900616
manual,core_tail_10,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,0.0539661654135,0.0482055253774,0.02744160401,0.0778639540567
manual,core_tail_10,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,0.0742857142857,0.0705311395476,0.0357327951213,0.116026285305
manual,core_tail_10,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,0.144087301587,0.131089827935,0.0942607142857,0.186145977574
manual,core_tail_10,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,0.0800396825397,0.0607779504852,0.0228802669437,0.126928571429
manual,core_tail_10,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,0.077380952381,0.0831397042285,0.0331889508929,0.115206555349
manual,core_tail_10,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,0.0554166666667,0.040380952381,0.0126315789474,0.0903772401434
manual,core_tail_10,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,0.0539583333333,0.0410952380952,0.00454545454545,0.123888888889
manual,core_tail_10,supported_same_room,dinov3__cls__panorama,all_available,24,7,0.0566666666667,0.0426428571429,0.0075,0.123888888889
manual,core_tail_10,supported_same_room,dinov3__block12__faces_global,all_available,24,7,0.0404166666667,0.0318095238095,0.00454545454545,0.085402173913
manual,full_p_by_8,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0651503759398,0.0959063610001,-0.00251926029963,0.154893592067
manual,full_p_by_8,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0580827067669,0.0683066031191,0.00499894067797,0.102811310664
manual,full_p_by_8,all_other_building,dinov3__cls__panorama,all_available,133,20,0.0125939849624,0.0544417006605,-0.0766522468569,0.106658841743
manual,full_p_by_8,all_other_building,dinov3__block12__faces_global,all_available,133,20,0.0561654135338,0.0557558656621,-0.024762195122,0.154833755061
manual,full_p_by_8,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,0.0514503816794,0.0406995781996,-0.00837722099501,0.104135629795
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,0.0298473282443,0.0141238005821,-0.0510360119048,0.102784736811
manual,full_p_by_8,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,0.0250763358779,0.0243678620762,-0.0629631435927,0.102270393574
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,0.0442748091603,0.0522063623105,-0.0344363614801,0.115990777075
manual,full_p_by_8,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0388533834586,0.00807619463869,-0.0308816741756,0.129129391011
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0569360902256,0.0136920405983,0.00751436399486,0.114372202096
manual,full_p_by_8,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,-0.00490601503759,-0.0172483349983,-0.0515388513514,0.0440921598229
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,0.0500939849624,0.0105512092075,-0.0119051228982,0.128572974537
manual,full_p_by_8,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,0.0749404761905,0.0607580128205,0.0164099796514,0.150924310065
manual,full_p_by_8,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,0.0964880952381,0.0987577878992,0.0462046174299,0.15974025974
manual,full_p_by_8,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,-0.0301785714286,-0.0196968502988,-0.0647058836207,0.0104909846547
manual,full_p_by_8,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,0.0973214285714,0.0760155476833,0.0527426504854,0.160865126898
manual,full_p_by_8,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,0,0,0,0
manual,full_p_by_8,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,0.0135416666667,0.0077380952381,0,0.0348214285714
manual,full_p_by_8,supported_same_room,dinov3__cls__panorama,all_available,24,7,0,0,0,0
manual,full_p_by_8,supported_same_room,dinov3__block12__faces_global,all_available,24,7,0.0135416666667,0.0077380952381,0,0.0348214285714
manual,grade_v1,all_other_building,dinov3__block3__panorama_mean,all_available,26,12,0.302285745568,0.325149686257,0.0148931359045,0.698177453348
manual,grade_v1,all_other_building,dinov3__block12__panorama_mean,all_available,26,12,0.302285745568,0.380705241812,0.0280150888594,0.685644082587
manual,grade_v1,all_other_building,dinov3__cls__panorama,all_available,26,12,0.302285745568,0.40848301959,0.0886887009534,0.601305486792
manual,grade_v1,all_other_building,dinov3__block12__faces_global,all_available,26,12,0.148439591721,0.269594130701,-0.175906352107,0.505252181808
manual,grade_v1,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,22,8,-0.0448484848485,-0.00666666666667,-0.248571428571,0.181818181818
manual,grade_v1,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,22,8,-0.135757575758,-0.0483333333333,-0.462857142857,0.181818181818
manual,grade_v1,same_building_diagnostic,dinov3__cls__panorama,all_available,22,8,-0.0448484848485,-0.00666666666667,-0.248571428571,0.181818181818
manual,grade_v1,same_building_diagnostic,dinov3__block12__faces_global,all_available,22,8,-0.135757575758,-0.0483333333333,-0.462857142857,0.181818181818
manual,grade_v1,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,24,12,0.465555555556,0.54162037037,0.22091087963,0.772090643275
manual,grade_v1,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,24,12,0.548888888889,0.624953703704,0.333059912854,0.858655603656
manual,grade_v1,same_mainspace_other_building,dinov3__cls__panorama,all_available,24,12,0.465555555556,0.54162037037,0.305983465608,0.681211622807
manual,grade_v1,same_mainspace_other_building,dinov3__block12__faces_global,all_available,24,12,0.382222222222,0.499953703704,0.205397584541,0.64225
manual,grade_v1,same_scene_other_building,dinov3__block3__panorama_mean,all_available,25,12,0.345810997732,0.241513329869,0.0353237924138,0.571119358265
manual,grade_v1,same_scene_other_building,dinov3__block12__panorama_mean,all_available,25,12,0.585810997732,0.574846663202,0.410573927216,0.765805565877
manual,grade_v1,same_scene_other_building,dinov3__cls__panorama,all_available,25,12,0.345810997732,0.366513329869,0.149640170348,0.529248447437
manual,grade_v1,same_scene_other_building,dinov3__block12__faces_global,all_available,25,12,0.505810997732,0.533179996536,0.298613814757,0.729355161927
manual,half_tv_all,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0593394766691,0.0641641610089,0.0395303260936,0.0843515730647
manual,half_tv_all,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.049128015044,0.0438124725715,0.02798490946,0.0646958586547
manual,half_tv_all,all_other_building,dinov3__cls__panorama,all_available,133,20,0.0485953523206,0.0534165402419,0.0327533574463,0.068206177304
manual,half_tv_all,all_other_building,dinov3__block12__faces_global,all_available,133,20,0.0503218664641,0.0370575064631,0.0313338791115,0.0694435740443
manual,half_tv_all,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,0.051293517862,0.0407669501257,0.00820220441696,0.084123599335
manual,half_tv_all,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,0.0402981430437,0.039362831164,0.0064478832628,0.0674681053765
manual,half_tv_all,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,0.0370190129609,0.0345406915191,0.00223663447894,0.065667438239
manual,half_tv_all,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,0.0307230538017,0.0325592910018,-0.00162201601132,0.0634395654044
manual,half_tv_all,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,0.0438937806994,0.0349366826857,0.0258779658344,0.0688192033602
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,0.0451199650277,0.0326409089051,0.0263725652928,0.0620187883724
manual,half_tv_all,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,0.0234331188253,0.0126775600992,0.00930124842198,0.0367449934517
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,0.0365764158811,0.0358735618482,0.0224434426532,0.055276944734
manual,half_tv_all,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,0.0380972350865,0.0470587886803,0.0225090718447,0.0588827330143
manual,half_tv_all,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,0.0553814051075,0.0594048339816,0.0386850602544,0.0724284748301
manual,half_tv_all,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,0.038926691523,0.0429533196502,0.0256226435238,0.0553253614199
