condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,30,0.354236641221,0.356931444327,
manual,core10_p_by_19,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,30,0.362938931298,0.342522442835,
manual,core10_p_by_19,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,30,0.360534351145,0.354922970548,
manual,core10_p_by_19,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,30,0.382213740458,0.371604279208,
manual,core10_p_by_19,same_building_diagnostic,source_frequency_or_median,all_available,131,18,30,0.314198473282,0.299472167493,
manual,core10_p_by_19,same_building_diagnostic,uniform_random_source_expectation,all_available,131,18,30,0.359819092358,0.333372416781,
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.38545112782,0.400811768093,
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.361804511278,0.370920159701,
manual,core10_p_by_19,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.351390977444,0.363266396798,
manual,core10_p_by_19,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,31,0.36007518797,0.36995021645,
manual,core10_p_by_19,same_mainspace_other_building,source_frequency_or_median,all_available,133,20,31,0.319736842105,0.343210836039,
manual,core10_p_by_19,same_mainspace_other_building,uniform_random_source_expectation,all_available,133,20,31,0.389368558939,0.40187742478,
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,31,0.377896825397,0.386124815243,
manual,core10_p_by_19,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,31,0.361944444444,0.370658874751,
manual,core10_p_by_19,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,31,0.333650793651,0.340118437118,
manual,core10_p_by_19,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,31,0.359603174603,0.366334811387,
manual,core10_p_by_19,same_scene_other_building,source_frequency_or_median,all_available,126,19,31,0.317242063492,0.314640093824,
manual,core10_p_by_19,same_scene_other_building,uniform_random_source_expectation,all_available,126,19,31,0.385243508633,0.381191173545,
manual,core10_p_by_19,supported_same_room,dinov3__block12__faces_global,all_available,24,7,10,0.525625,0.522095238095,
manual,core10_p_by_19,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,10,0.507708333333,0.50980952381,
